code,name,sido,sigungu,eupmyeondong,ri,status,level,parent_code,sido_abbr,sido_en,name_en
4121090300,경기도 광명시 광명3동,경기도,광명시,광명3동,,폐지,3,4121000000,경기,Gyeonggi,Gyeonggi Gwangmyeong-si Gwangmyeong3-dong
4121090400,경기도 광명시 광명4동,경기도,광명시,광명4동,,폐지,3,4121000000,경기,Gyeonggi,Gyeonggi Gwangmyeong-si Gwangmyeong4-dong
4121090500,경기도 광명시 광명5동,경기도,광명시,광명5동,,폐지,3,4121000000,경기,Gyeonggi,Gyeonggi Gwangmyeong-si Gwangmyeong5-dong
4121090600,경기도 광명시 광명6동,경기도,광명시,광명6동,,폐지,3,4121000000,경기,Gyeonggi,Gyeonggi Gwangmyeong-si Gwangmyeong6-dong
4121090700,경기도 광명시 광명7동,경기도,광명시,광명7동,,폐지,3,4121000000,경기,Gyeonggi,Gyeonggi Gwangmyeong-si Gwangmyeong7-dong
4121090800,경기도 광명시 철산1동,경기도,광명시,철산1동,,폐지,3,4121000000,경기,Gyeonggi,Gyeonggi Gwangmyeong-si Cheolsan1-dong
4121090900,경기도 광명시 철산2동,경기도,광명시,철산2동,,폐지,3,4121000000,경기,Gyeonggi,Gyeonggi Gwangmyeong-si Cheolsan2-dong
4121091000,경기도 광명시 철산3동,경기도,광명시,철산3동,,폐지,3,4121000000,경기,Gyeonggi,Gyeonggi Gwangmyeong-si Cheolsan3-dong
4121091100,경기도 광명시 철산4동,경기도,광명시,철산4동,,폐지,3,4121000000,경기,Gyeonggi,Gyeonggi Gwangmyeong-si Cheolsan4-dong
4121091200,경기도 광명시 소하1동,경기도,광명시,소하1동,,폐지,3,4121000000,경기,Gyeonggi,Gyeonggi Gwangmyeong-si Soha1-dong
4121091300,경기도 광명시 소하2동,경기도,광명시,소하2동,,폐지,3,4121000000,경기,Gyeonggi,Gyeonggi Gwangmyeong-si Soha2-dong
4121091400,경기도 광명시 학온동,경기도,광명시,학온동,,폐지,3,4121000000,경기,Gyeonggi,Gyeonggi Gwangmyeong-si Hagon-dong
4122000000,경기도 평택시,경기도,평택시,,,존재,2,4100000000,경기,Gyeonggi,Gyeonggi Pyeongtaek-si
4122010100,경기도 평택시 서정동,경기도,평택시,서정동,,존재,3,4133000000,경기,Gyeonggi,Gyeonggi Pyeongtaek-si Seojeong-dong
4122010200,경기도 평택시 장당동,경기도,평택시,장당동,,존재,3,4133000000,경기,Gyeonggi,Gyeonggi Pyeongtaek-si Jangdang-dong
4122010300,경기도 평택시 모곡동,경기도,평택시,모곡동,,존재,3,4133000000,경기,Gyeonggi,Gyeonggi Pyeongtaek-si Mogok-dong
4122010400,경기도 평택시 칠괴동,경기도,평택시,칠괴동,,존재,3,4133000000,경기,Gyeonggi,Gyeonggi Pyeongtaek-si Chilgoe-dong
4122010500,경기도 평택시 칠원동,경기도,평택시,칠원동,,존재,3,4133000000,경기,Gyeonggi,Gyeonggi Pyeongtaek-si Chirwon-dong
4122010600,경기도 평택시 도일동,경기도,평택시,도일동,,존재,3,4133000000,경기,Gyeonggi,Gyeonggi Pyeongtaek-si Doil-dong
4122010700,경기도 평택시 가재동,경기도,평택시,가재동,,존재,3,4133000000,경기,Gyeonggi,Gyeonggi Pyeongtaek-si Gajae-dong
4122010800,경기도 평택시 장안동,경기도,평택시,장안동,,존재,3,4133000000,경기,Gyeonggi,Gyeonggi Pyeongtaek-si Jangan-dong
4122010900,경기도 평택시 이충동,경기도,평택시,이충동,,존재,3,4133000000,경기,Gyeonggi,Gyeonggi Pyeongtaek-si Ichung-dong
4122011000,경기도 평택시 지산동,경기도,평택시,지산동,,존재,3,4133000000,경기,Gyeonggi,Gyeonggi Pyeongtaek-si Jisan-dong
4122011100,경기도 평택시 독곡동,경기도,평택시,독곡동,,존재,3,4133000000,경기,Gyeonggi,Gyeonggi Pyeongtaek-si Dokgok-dong
4122011200,경기도 평택시 신장동,경기도,평택시,신장동,,존재,3,4133000000,경기,Gyeonggi,Gyeonggi Pyeongtaek-si Sinjang-dong
4122011300,경기도 평택시 평택동,경기도,평택시,평택동,,존재,3,4133000000,경기,Gyeonggi,Gyeonggi Pyeongtaek-si Pyeongtaek-dong
4122011400,경기도 평택시 통복동,경기도,평택시,통복동,,존재,3,4133000000,경기,Gyeonggi,Gyeonggi Pyeongtaek-si Tongbok-dong
4122011500,경기도 평택시 군문동,경기도,평택시,군문동,,존재,3,4133000000,경기,Gyeonggi,Gyeonggi Pyeongtaek-si Gunmun-dong
4122011600,경기도 평택시 유천동,경기도,평택시,유천동,,존재,3,4133000000,경기,Gyeonggi,Gyeonggi Pyeongtaek-si Yucheon-dong
4122011700,경기도 평택시 합정동,경기도,평택시,합정동,,존재,3,4133000000,경기,Gyeonggi,Gyeonggi Pyeongtaek-si Hapjeong-dong
4122011800,경기도 평택시 비전동,경기도,평택시,비전동,,존재,3,4133000000,경기,Gyeonggi,Gyeonggi Pyeongtaek-si Bijeon-dong
4122011900,경기도 평택시 동삭동,경기도,평택시,동삭동,,존재,3,4133000000,경기,Gyeonggi,Gyeonggi Pyeongtaek-si Dongsak-dong
